age,marst,sex,people
-0.776214234,-1.78242102,-1.000852152,1043174
-0.776214234,-1.78242102,0.999148574,936055
-0.575204967,-1.78242102,-1.000852152,866910
-0.575204967,-1.78242102,0.999148574,737136
-0.374195701,-1.78242102,-1.000852152,699434
-0.374195701,-1.78242102,0.999148574,616826
-0.173186434,-1.78242102,-1.000852152,552404
-0.173186434,-1.78242102,0.999148574,461739
0.027822833,-1.78242102,-1.000852152,456176
0.027822833,-1.78242102,0.999148574,407305
0.2288321,-1.78242102,-1.000852152,292417
0.2288321,-1.78242102,0.999148574,267224
0.429841366,-1.78242102,-1.000852152,260887
0.429841366,-1.78242102,0.999148574,249735
0.630850633,-1.78242102,-1.000852152,149331
0.630850633,-1.78242102,0.999148574,141405
0.8318599,-1.78242102,-1.000852152,98465
0.8318599,-1.78242102,0.999148574,101778
1.032869167,-1.78242102,-1.000852152,56699
1.032869167,-1.78242102,0.999148574,57597
1.233878433,-1.78242102,-1.000852152,29007
1.233878433,-1.78242102,0.999148574,29506
1.4348877,-1.78242102,-1.000852152,10434
1.4348877,-1.78242102,0.999148574,14053
1.635896967,-1.78242102,-1.000852152,7232
1.635896967,-1.78242102,0.999148574,6622
-1.982269835,-1.78242102,-1.000852152,2800083
-1.982269835,-1.78242102,0.999148574,2717102
-1.781260568,-1.78242102,-1.000852152,2428469
-1.781260568,-1.78242102,0.999148574,2393680
-1.580251301,-1.78242102,-1.000852152,2427341
-1.580251301,-1.78242102,0.999148574,2342670
-1.379242034,-1.78242102,-1.000852152,1958390
-1.379242034,-1.78242102,0.999148574,2077248
-1.178232768,-1.78242102,-1.000852152,1805303
-1.178232768,-1.78242102,0.999148574,1909382
-0.977223501,-1.78242102,-1.000852152,1509059
-0.977223501,-1.78242102,0.999148574,1574285
-0.776214234,-1.78242102,-1.000852152,1251534
-0.776214234,-1.78242102,0.999148574,1275629
-0.575204967,-1.78242102,-1.000852152,1185336
-0.575204967,-1.78242102,0.999148574,1137490
-0.374195701,-1.78242102,-1.000852152,968861
-0.374195701,-1.78242102,0.999148574,944401
-0.173186434,-1.78242102,-1.000852152,852672
-0.173186434,-1.78242102,0.999148574,747916
0.027822833,-1.78242102,-1.000852152,736387
0.027822833,-1.78242102,0.999148574,637801
